message,kode_user,cleaning_text,case_folding,tokenizing,normalization,remove_stopwords,stemming,clean_text,severity
Brarti 450k 100mbps utk 3bulan tanpa bayar modem ya kak?,KN0627,Brarti k mbps utk bulan tanpa bayar modem ya kak ,brarti k mbps utk bulan tanpa bayar modem ya kak ,"['brarti', 'k', 'mbps', 'utk', 'bulan', 'tanpa', 'bayar', 'modem', 'ya', 'kak']","['brarti', 'ke', 'mbps', 'untuk', 'bulan', 'tanpa', 'bayar', 'modem', 'iya', 'kak']","['brarti', 'mbps', 'bayar', 'modem', 'iya', 'kak']","['brarti', 'mbps', 'bayar', 'modem', 'iya', 'kak']",brarti mbps bayar modem iya kak,1
Ini bukti tf.nya kak,KP2257,Ini bukti tf nya kak,ini bukti tf nya kak,"['ini', 'bukti', 'tf', 'nya', 'kak']","['ini', 'bukti', 'tf', 'nya', 'kak']","['bukti', 'tf', 'nya', 'kak']","['bukti', 'tf', 'nya', 'kak']",bukti tf nya kak,1
Bentar mb tunggu info yg di rumah sdh nyala belum...saya mash di jalan,"KM0752, KM1492",Bentar mb tunggu info yg di rumah sdh nyala belum saya mash di jalan,bentar mb tunggu info yg di rumah sdh nyala belum saya mash di jalan,"['bentar', 'mb', 'tunggu', 'info', 'yg', 'di', 'rumah', 'sdh', 'nyala', 'belum', 'saya', 'mash', 'di', 'jalan']","['sebentar', 'mb', 'tunggu', 'informasi', 'yang', 'di', 'rumah', 'sdh', 'nyala', 'belum', 'saya', 'mash', 'di', 'jalan']","['sebentar', 'mb', 'tunggu', 'informasi', 'rumah', 'sdh', 'nyala', 'belum', 'mash', 'jalan']","['sebentar', 'mb', 'tunggu', 'informasi', 'rumah', 'sdh', 'nyala', 'belum', 'mash', 'jalan']",sebentar mb tunggu informasi rumah sdh nyala belum mash jalan,1
Kapten naratel gangguan ya,JT0290,Kapten naratel gangguan ya,kapten naratel gangguan ya,"['kapten', 'naratel', 'gangguan', 'ya']","['kapten', 'naratel', 'gangguan', 'iya']","['kapten', 'naratel', 'gangguan', 'iya']","['kapten', 'naratel', 'ganggu', 'iya']",kapten naratel ganggu iya,2
Kak nomor wa  untuk lapor gangguan nya ganti kah?,"KJ2224, KI1388",Kak nomor wa untuk lapor gangguan nya ganti kah ,kak nomor wa untuk lapor gangguan nya ganti kah ,"['kak', 'nomor', 'wa', 'untuk', 'lapor', 'gangguan', 'nya', 'ganti', 'kah']","['kak', 'nomor', 'wa', 'untuk', 'lapor', 'gangguan', 'nya', 'ganti', 'kah']","['kak', 'nomor', 'wa', 'lapor', 'gangguan', 'nya', 'ganti']","['kak', 'nomor', 'wa', 'lapor', 'ganggu', 'nya', 'ganti']",kak nomor wa lapor ganggu nya ganti,2
aku td mengajukan pasang ..,KP2255,aku td mengajukan pasang ,aku td mengajukan pasang ,"['aku', 'td', 'mengajukan', 'pasang']","['aku', 'tadi', 'mengajukan', 'pasang']","['mengajukan', 'pasang']","['aju', 'pasang']",aju pasang,1
Naratel sebagai penyedia layanan internet apakah bisa menyediakan sarana untuk IP phone yang akan saya pasang ?,KM2492,Naratel sebagai penyedia layanan internet apakah bisa menyediakan sarana untuk IP phone yang akan saya pasang ,naratel sebagai penyedia layanan internet apakah bisa menyediakan sarana untuk ip phone yang akan saya pasang ,"['naratel', 'sebagai', 'penyedia', 'layanan', 'internet', 'apakah', 'bisa', 'menyediakan', 'sarana', 'untuk', 'ip', 'phone', 'yang', 'akan', 'saya', 'pasang']","['naratel', 'sebagai', 'penyedia', 'layanan', 'internet', 'apakah', 'bisa', 'menyediakan', 'sarana', 'untuk', 'ip', 'phone', 'yang', 'akan', 'saya', 'pasang']","['naratel', 'penyedia', 'layanan', 'internet', 'menyediakan', 'sarana', 'ip', 'phone', 'pasang']","['naratel', 'sedia', 'layan', 'internet', 'sedia', 'sarana', 'ip', 'phone', 'pasang']",naratel sedia layan internet sedia sarana ip phone pasang,1
Kalo wifinya oke cuma utk di tv harus ada kode dari admin itu gimana ya caranya...?,KI2857,Kalo wifinya oke cuma utk di tv harus ada kode dari admin itu gimana ya caranya ,kalo wifinya oke cuma utk di tv harus ada kode dari admin itu gimana ya caranya ,"['kalo', 'wifinya', 'oke', 'cuma', 'utk', 'di', 'tv', 'harus', 'ada', 'kode', 'dari', 'admin', 'itu', 'gimana', 'ya', 'caranya']","['kalau', 'wifinya', 'oke', 'cuma', 'untuk', 'di', 'tv', 'harus', 'ada', 'kode', 'dari', 'admin', 'itu', 'bagaimana', 'iya', 'caranya']","['wifinya', 'oke', 'tv', 'kode', 'admin', 'iya']","['wifinya', 'oke', 'tv', 'kode', 'admin', 'iya']",wifinya oke tv kode admin iya,1
Wifi saya yang di toko landungsari mati,"KJ2224, KI1388",Wifi saya yang di toko landungsari mati,wifi saya yang di toko landungsari mati,"['wifi', 'saya', 'yang', 'di', 'toko', 'landungsari', 'mati']","['wifi', 'saya', 'yang', 'di', 'toko', 'landungsari', 'mati']","['wifi', 'toko', 'landungsari', 'mati']","['wifi', 'toko', 'landungsari', 'mati']",wifi toko landungsari mati,2
"Akir"" ini jaringan internet sy tdk lancar sering ngadat putus""",KM0817,Akir ini jaringan internet sy tdk lancar sering ngadat putus ,akir ini jaringan internet sy tdk lancar sering ngadat putus ,"['akir', 'ini', 'jaringan', 'internet', 'sy', 'tdk', 'lancar', 'sering', 'ngadat', 'putus']","['akir', 'ini', 'jaringan', 'internet', 'saya', 'tidak', 'lancar', 'sering', 'ngadat', 'putus']","['akir', 'jaringan', 'internet', 'tidak', 'lancar', 'ngadat', 'putus']","['akir', 'jaring', 'internet', 'tidak', 'lancar', 'ngadat', 'putus']",akir jaring internet tidak lancar ngadat putus,2
Lampu indikatornya juga mati semua,"KJ2224, KI1388",Lampu indikatornya juga mati semua,lampu indikatornya juga mati semua,"['lampu', 'indikatornya', 'juga', 'mati', 'semua']","['lampu', 'indikatornya', 'juga', 'mati', 'semua']","['lampu', 'indikatornya', 'mati']","['lampu', 'indikator', 'mati']",lampu indikator mati,2
Langsung pasang Tah kak?,KT2104,Langsung pasang Tah kak ,langsung pasang tah kak ,"['langsung', 'pasang', 'tah', 'kak']","['langsung', 'pasang', 'tah', 'kak']","['pasang', 'tah', 'kak']","['pasang', 'tah', 'kak']",pasang tah kak,1
Permisi...mau tanya ini nomer virtualnya KJ0851 berapa ya???,KJ0851,Permisi mau tanya ini nomer virtualnya KJ berapa ya ,permisi mau tanya ini nomer virtualnya kj berapa ya ,"['permisi', 'mau', 'tanya', 'ini', 'nomer', 'virtualnya', 'kj', 'berapa', 'ya']","['permisi', 'mau', 'tanya', 'ini', 'nomer', 'virtualnya', 'kj', 'berapa', 'iya']","['permisi', 'nomer', 'virtualnya', 'kj', 'iya']","['permisi', 'nomer', 'virtual', 'kj', 'iya']",permisi nomer virtual kj iya,1
"iya kak, ini wifi sy yg ssid nya 2,4ghz mati nyala berulang, dan ketika di lakukan login ulang muncul notifikasi radius server......, bisa dibantu kak?",STJT0013,iya kak ini wifi sy yg ssid nya ghz mati nyala berulang dan ketika di lakukan login ulang muncul notifikasi radius server bisa dibantu kak ,iya kak ini wifi sy yg ssid nya ghz mati nyala berulang dan ketika di lakukan login ulang muncul notifikasi radius server bisa dibantu kak ,"['iya', 'kak', 'ini', 'wifi', 'sy', 'yg', 'ssid', 'nya', 'ghz', 'mati', 'nyala', 'berulang', 'dan', 'ketika', 'di', 'lakukan', 'login', 'ulang', 'muncul', 'notifikasi', 'radius', 'server', 'bisa', 'dibantu', 'kak']","['iya', 'kak', 'ini', 'wifi', 'saya', 'yang', 'ssid', 'nya', 'ghz', 'mati', 'nyala', 'berulang', 'dan', 'ketika', 'di', 'lakukan', 'login', 'ulang', 'muncul', 'notifikasi', 'radius', 'server', 'bisa', 'dibantu', 'kak']","['iya', 'kak', 'wifi', 'ssid', 'nya', 'ghz', 'mati', 'nyala', 'berulang', 'lakukan', 'login', 'ulang', 'muncul', 'notifikasi', 'radius', 'server', 'dibantu', 'kak']","['iya', 'kak', 'wifi', 'ssid', 'nya', 'ghz', 'mati', 'nyala', 'ulang', 'laku', 'login', 'ulang', 'muncul', 'notifikasi', 'radius', 'server', 'bantu', 'kak']",iya kak wifi ssid nya ghz mati nyala ulang laku login ulang muncul notifikasi radius server bantu kak,1
Maaf mbak saya bayar bulanan besok sabtu ya,KI1017,Maaf mbak saya bayar bulanan besok sabtu ya,maaf mbak saya bayar bulanan besok sabtu ya,"['maaf', 'mbak', 'saya', 'bayar', 'bulanan', 'besok', 'sabtu', 'ya']","['maaf', 'mbak', 'saya', 'bayar', 'bulanan', 'besok', 'sabtu', 'iya']","['maaf', 'mbak', 'bayar', 'bulanan', 'besok', 'iya']","['maaf', 'mbak', 'bayar', 'bulan', 'besok', 'iya']",maaf mbak bayar bulan besok iya,1
Jdi perbulannya bisa transfer ea kak,KT2104,Jdi perbulannya bisa transfer ea kak,jdi perbulannya bisa transfer ea kak,"['jdi', 'perbulannya', 'bisa', 'transfer', 'ea', 'kak']","['jadi', 'perbulannya', 'bisa', 'transfer', 'ea', 'kak']","['perbulannya', 'transfer', 'ea', 'kak']","['bulan', 'transfer', 'ea', 'kak']",bulan transfer ea kak,1
total yang 100mbps berapa sama pasangnya,STKP0039,total yang mbps berapa sama pasangnya,total yang mbps berapa sama pasangnya,"['total', 'yang', 'mbps', 'berapa', 'sama', 'pasangnya']","['total', 'yang', 'mbps', 'berapa', 'sama', 'pasangnya']","['total', 'mbps', 'pasangnya']","['total', 'mbps', 'pasang']",total mbps pasang,1
Aku bayar lewat m- bking bca ko no rek ga terdaftar ya...,KD0198,Aku bayar lewat m bking bca ko no rek ga terdaftar ya ,aku bayar lewat m bking bca ko no rek ga terdaftar ya ,"['aku', 'bayar', 'lewat', 'm', 'bking', 'bca', 'ko', 'no', 'rek', 'ga', 'terdaftar', 'ya']","['aku', 'bayar', 'lewat', 'm', 'bking', 'bca', 'ko', 'no', 'rek', 'ga', 'terdaftar', 'iya']","['bayar', 'm', 'bking', 'bca', 'ko', 'rek', 'ga', 'terdaftar', 'iya']","['bayar', 'm', 'bking', 'bca', 'ko', 'rek', 'ga', 'daftar', 'iya']",bayar m bking bca ko rek ga daftar iya,1
Mhn maaf  Aku mau bayar wifi Naratel Gundala bulan Oktober 25 minta BRIVA yg baru. ID pelanggan saya adalah GJ 0275,GJ0275,Mhn maaf Aku mau bayar wifi Naratel Gundala bulan Oktober minta BRIVA yg baru ID pelanggan saya adalah GJ ,mhn maaf aku mau bayar wifi naratel gundala bulan oktober minta briva yg baru id pelanggan saya adalah gj ,"['mhn', 'maaf', 'aku', 'mau', 'bayar', 'wifi', 'naratel', 'gundala', 'bulan', 'oktober', 'minta', 'briva', 'yg', 'baru', 'id', 'pelanggan', 'saya', 'adalah', 'gj']","['mohon', 'maaf', 'aku', 'mau', 'bayar', 'wifi', 'naratel', 'gundala', 'bulan', 'oktober', 'minta', 'briva', 'yang', 'baru', 'id', 'pelanggan', 'saya', 'adalah', 'tidak jelas']","['mohon', 'maaf', 'bayar', 'wifi', 'naratel', 'gundala', 'oktober', 'briva', 'id', 'pelanggan', 'tidak jelas']","['mohon', 'maaf', 'bayar', 'wifi', 'naratel', 'gundala', 'oktober', 'briva', 'id', 'langgan', 'tidak jelas']",mohon maaf bayar wifi naratel gundala oktober briva id langgan tidak jelas,1
