id,kode_user,paket_satuan,status_log,lama_aktivasi
1,GI0042,5 Mbps,y,55 bulan
2,GI0035,10 Mbps,y,55 bulan
3,GI0046,10 Mbps,y,55 bulan
4,GI0047,10 Mbps,n,55 bulan
5,GJ0071,10 Mbps,y,55 bulan
6,GJ0063,10 Mbps,y,55 bulan
7,GJ0054,5 Mbps,y,55 bulan
8,GJ0002,10 Mbps,y,55 bulan
9,GJ0004,15 Mbps,y,55 bulan
10,GJ0019,5 Mbps,y,55 bulan
11,GJ0024,10 Mbps,y,55 bulan
12,GJ0029,5 Mbps,n,55 bulan
13,GJ0032,10 Mbps,y,55 bulan
14,GJ0033,5 Mbps,y,55 bulan
15,GJ0039,5 Mbps,y,55 bulan
16,GJ0044,5 Mbps,y,55 bulan
17,GJ0079,10 Mbps,y,55 bulan
18,GI0059,10 Mbps,y,55 bulan
19,GJ0082,5 Mbps,y,55 bulan
20,GJ0084,10 Mbps,n,55 bulan
21,GJ0087,10 Mbps,y,55 bulan
22,GJ0089,10 Mbps,y,55 bulan
23,GI0063,15 Mbps,y,55 bulan
24,GJ0096,5 Mbps,y,55 bulan
25,GJ0101,5 Mbps,n,55 bulan
26,GJ0102,5 Mbps,y,55 bulan
27,GI0065,10 Mbps,n,55 bulan
28,GI0067,10 Mbps,n,55 bulan
29,GJ0103,10 Mbps,y,55 bulan
30,GJ0107,10 Mbps,y,55 bulan
31,GJ0115,10 Mbps,y,55 bulan
32,GJ0123,5 Mbps,y,55 bulan
33,GJ0126,5 Mbps,y,55 bulan
34,GJ0136,20 Mbps,y,55 bulan
35,GJ0140,5 Mbps,y,55 bulan
36,GJ0145,5 Mbps,y,55 bulan
37,GJ0152,11 Mbps,n,55 bulan
38,GI0077,5 Mbps,y,55 bulan
39,GJ0165,10 Mbps,y,55 bulan
40,GJ0167,10 Mbps,y,55 bulan
41,GJ0168,10 Mbps,y,55 bulan
42,GJ0178,10 Mbps,y,55 bulan
43,GJ0190,10 Mbps,y,55 bulan
44,GJ0191,5 Mbps,y,55 bulan
45,GJ0198,10 Mbps,y,55 bulan
46,GJ0200,5 Mbps,y,55 bulan
47,GI0084,5 Mbps,y,55 bulan
48,GI0085,15 Mbps,n,55 bulan
49,GJ0206,5 Mbps,y,55 bulan
50,GJ0208,15 Mbps,y,55 bulan
51,GJ0212,5 Mbps,y,55 bulan
52,GI0094,10 Mbps,y,55 bulan
53,GJ0220,10 Mbps,y,55 bulan
54,GJ0226,5 Mbps,n,55 bulan
55,GI0097,5 Mbps,y,55 bulan
56,GJ0232,5 Mbps,n,55 bulan
57,GJ0235,10 Mbps,y,55 bulan
58,GJ0237,5 Mbps,y,55 bulan
59,GJ0238,10 Mbps,y,55 bulan
60,GJ0240,10 Mbps,y,55 bulan
61,GJ0269,10 Mbps,y,55 bulan
62,GJ0274,10 Mbps,y,55 bulan
63,GJ0275,10 Mbps,y,55 bulan
64,GJ0278,15 Mbps,y,55 bulan
65,GJ0282,10 Mbps,y,55 bulan
66,GJ0285,10 Mbps,y,55 bulan
67,GJ0286,15 Mbps,y,55 bulan
68,GJ0287,10 Mbps,y,55 bulan
69,GJ0293,15 Mbps,y,55 bulan
70,GJ0295,10 Mbps,y,55 bulan
71,GJ0300,5 Mbps,y,55 bulan
72,GJ0303,5 Mbps,y,55 bulan
73,sinden,5 Mbps,y,55 bulan
74,GJ0310,15 Mbps,y,55 bulan
75,GJ0312,5 Mbps,y,55 bulan
76,GJ0323,10 Mbps,y,55 bulan
77,GJ0325,15 Mbps,y,55 bulan
78,GJ0333,5 Mbps,y,55 bulan
79,GJ0336,5 Mbps,y,55 bulan
80,GJ0340,10 Mbps,y,55 bulan
81,GJ0357,10 Mbps,y,55 bulan
82,GJ0362,10 Mbps,n,55 bulan
83,GJ0368,10 Mbps,y,55 bulan
84,GJ0370,10 Mbps,y,55 bulan
85,GJ0372,15 Mbps,y,55 bulan
86,GJ0376,10 Mbps,y,55 bulan
87,GJ0379,5 Mbps,y,55 bulan
88,GJ0382,10 Mbps,y,55 bulan
89,GJ0383,10 Mbps,y,55 bulan
90,GI0131,5 Mbps,y,55 bulan
91,GI0129,10 Mbps,y,55 bulan
92,GI0133,5 Mbps,y,55 bulan
93,GJ0387,10 Mbps,n,55 bulan
94,GJ0389,10 Mbps,y,55 bulan
95,GJ0394,10 Mbps,y,55 bulan
96,GJ0401,10 Mbps,y,55 bulan
97,GJ0404,15 Mbps,y,55 bulan
98,GJ0417,5 Mbps,y,55 bulan
99,GI0140,10 Mbps,y,55 bulan
100,GJ0427,5 Mbps,y,55 bulan
