message,kode_user,severity,severity_manual
Brarti 450k 100mbps utk 3bulan tanpa bayar modem ya kak?,KN0627,1,1
Kalau cctv yg pakai wifi ?,KN0627,0,4
Ini bukti tf.nya kak,KP2257,1,2
Bentar mb tunggu info yg di rumah sdh nyala belum...saya mash di jalan,"KM0752, KM1492",1,1
Kapten naratel gangguan ya,JT0290,2,3
Kak nomor wa  untuk lapor gangguan nya ganti kah?,"KJ2224, KI1388",2,2
Kalai superstar nya gak ready gak deh,,0,2
Sinyal slalu naik turun tidak stabil,KP2246,0,4
Naratel sebagai penyedia layanan internet apakah bisa menyediakan sarana untuk IP phone yang akan saya pasang ?,KM2492,1,3
Kalo wifinya oke cuma utk di tv harus ada kode dari admin itu gimana ya caranya...?,KI2857,1,1
Wifi saya yang di toko landungsari mati,"KJ2224, KI1388",2,1
"kak ini wi fi nya gabisa, kemarin kan mati lampu nah ini tadi nyobak ta taruh rumah bawah trus internet nya ga bisa, trus ta ganti ke atas lagi tetep gabisa",,2,1
Kadang tiba tiba drop kak dan gak bisa digunakan,KP0437,0,1
"Akir"" ini jaringan internet sy tdk lancar sering ngadat putus""",KM0817,2,1
Wifinya error lagi maturnuwun🙏,KM1481,0,2
Pembayaran melalui bri bisakah,KD1282,0,1
Ini jatuh temponya tanggal brpa kak?,KT1879,0,1
Kok belum diberitahu,KM1510,0,1
"Maaf masih blm lancar,",KM0817,0,2
Langsung pasang Tah kak?,KT2104,1,1
Permisi...mau tanya ini nomer virtualnya KJ0851 berapa ya???,KJ0851,0,1
Apa itu kode password baru atau otomatis utk wifi di tv,KI2857,0,2
u/ yg 5ghz saat ini sy pakai normal,STJT0013,0,4
Saya bayarnya gimna kak,AT0025,0,4
katanya siang tadi kak,KP2255,0,3
Terima kasih sdh normal lagi  .... pelayanan anda cukup baik,KM0817,0,1
Ea kak...trma ksih sblumnya kak,KT2104,0,2
Jdi perbulannya bisa transfer ea kak,KT2104,1,1
Pak kpn saya harus byr lg kayaknya udh mati,,2,1
Oh gitu ya,STKN0016,0,4
iya benar kak,STJT0013,0,1
Aku bayar lewat m- bking bca ko no rek ga terdaftar ya...,KD0198,1,2
Apa sudah tutup kantornya,KP0232,0,1
Biasanya mudah kak....,KD0198,0,1
Tolong infonya kak untuk VA BRI bln ini,KD0198,0,1
Bank apa ini kak namanya,AT0025,0,4
Mhn maaf  Aku mau bayar wifi Naratel Gundala bulan Oktober 25 minta BRIVA yg baru. ID pelanggan saya adalah GJ 0275,GJ0275,1,2
Ini sek teknisinya Lum dtang,KT2104,0,4
"Halo kak mau tanya, bayar tagihan via aplikasi menunya di sebelah mana ya kak? Apa harus isi saldo dulu trus otomatis kepotong",KI3194,1,3
Boleh minta no pembayarannya,KP0348,0,1
Ea sdah kak....oy seumpamanya saya nanti ada rjeki beli hp lgi...jdi bisa diubah lgi ea kak ke 30 Mbps kak,KT2104,0,4
Oghee 👍 Kami tunggu,KM2492,0,1
Mau tanya masa aktif punya tetangga saya atas nama bu ninik tanggal berapa ya ?,KD0746,0,1
mau bayar di aplikasi kapten natatel lewat indomaret tapi kok gak bisa ya,"KD0123, KD1721",1,1
Tampilan seperti ini ya kak,KD0198,0,3
Kenapa wifinya nyandet² ya ini?,JT0555,0,1
Baik terima kasih,,0,1
harga bulanan provider ini berapa,,1,1
untuk pemasangan wifi,,0,3
mau buka mbking GK bisa,KP2255,0,4
Bisa minta keterangan utk paketannya,,0,2
kalo buat di daerah polehan kota malang apakah bisa kak,,0,3
Saya kurang tau id-nya kak Rumah nya depan rumah saya,KD0746,0,2
soalnya orangnya nitip uang ke saya buat bayar,KD0746,1,2
Tks sudah lancar.....,,0,2
Tetap blm bisa,KD1271,0,1
SDH bayar untk BLN nie kak,KP1184,1,3
ditunggu updatenya kak,KP1000,0,2
Please reconnect the service as soon as possible 🙏,KT0734,0,1
Maaf GK bisa download aplikasi ....apakah bisa bayar d Alfamart/ Indomaret,KJ0851,1,1
"bersrti harus 3, bulan ya",STKP0039,0,1
GK tabil kak wafinya ngelek terus,KP2255,0,2
mohon di bantu,KP2255,0,2
Soalnya tadi convirtualnya kok ganti lagi,KJ0851,0,3
Jadi salah lagi,KJ0851,0,1
Kok ngk bisa ya,KT1768,0,2
Alhamdulillah...udah ya 👆,KJ0851,0,2
Saya mau bayar,KT1768,1,1
Belum bisa wifi saya kak,,0,2
Ini yg terbaru,KT1768,0,1
Info norekening yang pasti untuk deposit,KM1631,0,1
"belum tau ya, kalau mau diambil perangkat nya juga gapapa",KD0035,0,1
"Waduh aku lupa,ini aku nebeng wifi tetangga,kok wifi naratel gak bisa otomatis ya",,0,2
ini pesannya di sini atau gimana kak?,STKP0039,0,1
Jl.R.A Kartini no.43A Rt.04 Rw.01 junwatu junrejo,KD0746,0,1
Takutnya masa aktif orangnya lebih dulu dari saya,KD0746,0,4
Besok aku TF 175 ribu,KN0552,1,1
"Terima kasih atas konfirmasi pembayaran Anda. Masa aktif layanan telah kami perpanjang  Untuk informasi mengenai tanggal masa aktif, silakan cek melalui tautan berikut: https://pembayaran.kaptennaratel.com/  Jika wifinya masih belum bisa, mohon untuk me-restart modemnya. Caranya cabut adaptor selama 10 detik kemudian tancapkan lagi. Tunggu -/+3menit, sampai internet normal kembali😊",KM1631,4,1
Ada wedding kak disni,KJ1390,0,2
Bank ing saya Mandiri,KM1631,0,1
ada kontak untuk daerah pasuruan?,STKP0039,0,1
Di tunggu min,,0,4
Maaf ini nomer VA utk.payment apa hanya bs dibyr lwt rek BCA saja?,KM2049,0,3
Wifinya gangguan kah ?,KM2098,2,2
Biasanya sy TF ke no.VA Briva,KM2049,1,3
Klo sy Tf dr rek bank lain ke nomer VA BCA itu bisa ndak?,KM2049,1,3
Info pasang baru kak,,1,3
Ini sy br install applikasinya,KM2049,0,1
Oke” aku rundingkan dulu,KN0627,0,3
Sy TF ke nomer VA BCA pke mbanking Mandiri bisa ya,KM2049,1,3
"Saya ga punya BCA kak, adanya BRI dan Mandiri",KT1372,0,1
TLP melalui wa menghubungkan trus ...,KP2255,0,1
Ini nomer VA nya 15412000000000007384,KM2049,0,1
Apakah ada perbaikan wifi ya pak?,KD1034,0,3
Bener ya..panjang banget 🫣,KM2049,0,3
Kirim no rekening saja biar ndak ribet seperti dulu,KM1631,0,1
Ok makasih..sy cb payment,KM2049,0,1
Ini br bikin akun di apps nya,KM2049,0,1
Aplikasinya modelan ovo ato dana ya 😄,KM2049,0,1
Bisa bantu cek kan tagihan saya kak,,1,4
Baik mbak ini masih belum bisa,,0,1
"Slamat malam min kok di setiao jm 6 sampe jm 7, 2 hari iki sering lemot ya ?",KP0439,2,1
"Bisa lewat website tidak? Kalau kebanyakan install aplikasi, HP bisa nge lag",KT1372,2,2
Kak... Itu pket superstar kok murah? Penasaran,KM2049,0,1
Iya kak terimakasih....sangat membantu...,KD0198,0,4
"Ngk ada, terimakasih banyak",KT1768,0,4
Kok ngk di bals chatnya,KT1879,0,1
Itu modem nya yg wireless?,KM2049,0,1
Koneksi internet kurang baik mbak,,0,1
Mau isi wifi kak,KT1606,0,1
Id: Edwin Tassi,KT1606,0,2
Mau isi wifi kak,KT1606,0,1
Atas nama Asri Setyorini,KD1034,0,1
Mau rencana pasang,KP2273,1,4
Pasti saya tf,,1,1
Kapten naratel ya,KP2273,0,1
Apakah ada perbaikan wifi,KD1034,0,4
Selamat malam kak,KT1606,0,1
Tolong kirimkan account virtual,KT1606,0,2
Id: Edwin Tassi,KT1606,0,2
Kenapa smart tv saya nggak bisa connect ya?,STKN0016,0,1
Waduh mau kyke,KM2049,0,2
Di jm 6 sampe jm 7 sore tdk normal,KP0439,0,1
Di jm yg lain normal,KP0439,0,2
Oh gtu..paham deh..mkny kok murah  😄,KM2049,0,2
Kalau sudah gimana kak,KT1606,0,1
Mbak modem yg ziyad kost sebelah mana dan yasmin kos sebelah mana,,0,3
Paham deh sementara.. Makasih ya,KM2049,0,1
Maaf td belum baca,,0,1
Pak internet saya ko mati ya,,2,2
Yg ini maksudnya,,0,1
Nggk ada kak,KN0627,0,1
Ulang2 tidak berhasil,KM1631,0,2
Soalnya saya kirim pesan wa ke orang rumah tdk terkirim,KD1034,0,2
Pdahal wifinya nyala,KD1034,1,1
Saya sdg di luar,KD1034,0,4
dulu kan aslinya 10mbps kayaknya kak,,0,1
No VA BRP,KM1631,0,4
Ini teman saya mau pasang wifi,KP0128,1,3
Ini di hp saya juga gak connect,STKN0016,0,1
untuk wilayah kediri jawa timur bisa?,,0,2
Pak jaringan wifi nya kok lama loading nya,,0,3
gangguan kah mbak?,"KT0356, KT1515",2,1
Selama ini lancar2 saja,KM1631,0,1
Bagaimana kalau kedaluwarsa kak?,KT1606,0,1
Ijin tanya  Untuk jumlah perangkat itu maksudnya untuk PC kah,,0,3
Kemarin malam connect,STKN0016,0,4
masih di cek mbak,"KT0356, KT1515",1,2
Kan baru dipasang hari rabu kemarin,STKN0016,0,1
Misall 15 mpbs Hanya mampu menjangkau 2 perangkat   Begitu kah,,0,1
Lebih dari 2 perangkat tidak bisa kah,,0,2
"Yg saya lingkarin hijau pas di rumah, yg centang 1 pas keluar",KD1034,0,3
Masih sama kak,KT1606,0,3
Enno di tegalgondo,,0,2
Selamat siang kka Maaf mengganggu .ini bagaimana mau bayar wifi kka,KT2054,1,2
apa sudah aktif wifi nya,"KD0123, KD1721",0,3
ini ada nyala merah,"KT0356, KT1515",1,2
Tapi statusnya masih kaya gini,KT1372,0,2
Met siang kak..,,0,1
Tadi mau bayar ke Indomaret rebet aplikasinya besok aja lewat BCA ya trimakasih,JT0999,1,2
Baik mbak tadi sudah saya suruh split,,0,2
"Kamar 1, 2, 3, 10, 11, 12 pake ziyad kost 2  Kamar 4, 5, 6, 7, 8, 9 pake yasmin kos",,0,1
Saya chat ke yg lain bisa,KD1034,0,2
"Iya kak, di sini id saya KT1372",KT1372,0,1
Wong hp nya nyala kok kak baru bbrp menit saya keluar,KD1034,1,1
Kak ini kok wifi saya lemot yaa,,2,2
HP an di dlm kamar aja udah lemot banget,,2,2
Pdhal kotak box wifi dekeett,,0,3
Mau bayar wifi,KI2226,1,2
Nanti ktmya dpt fe,KP0128,0,1
Lewat spay bisa?,KI2226,0,1
Hallo kak knp waifi nya tidak stabil,KM3123,0,1
Tp msh lemot,,2,1
Saya mau bayar bulanan kok gak bisa ya,JT0846,1,4
"Sementara begitu dulu mbak, jika ada kendala saya kabari ulang",,0,1
Sudah dicoba seperti ini kak,,0,3
gimana min apa bisa?,,0,2
Yang ini ya?,KI2226,0,2
Atau atas nama pelanggan?,,0,1
"Jaringan internet kok tdk bs stabil putus nyambung putus nyambung terus""an ini bagaimana",KM0817,2,1
Kok gaada spay?,KI2226,0,1
Id Pelanggan itu berupa nomor kah?,,0,2
untuk biaya di awal nanti gimana? apa ada biaya sewa sama biaya pemasangan?,,0,1
"selamat siang,saya pelanggan atas nama bambang pribadi mau bayar lewat VA bca tp kok ga bisa ya",KI1750,1,2
Wifiny gk bisa k,KM1572,0,4
Kirim disini aja kak VA nya,KI2226,0,4
Tetep kan sama yang kemarin no BRIVA nya?,KI2226,0,4
Ribet bayar di apk nya,KI2226,1,1
Wifi sudah seminggu lebih sering lemot mohon dibantu,KM0043,2,4
"Cara cancel Payment nya gimana, saya tadi coba pembayaran tunai tadi",KI2226,0,1
Dah berhasil ya,JT0846,0,4
Masih kedaluwarsa kak,KT1606,0,4
*Tonton Sang Ekosandi,,0,3
Soalnya barusan bisa kok,KD1034,0,1
"lampu nya merah kedip"" di loss",,0,1
Hallo kak knp waifi nya tidak stabil,KM3123,0,3
Untuk daerah VBT apa sudah cover?,KI3378,0,1
Tonton sang ekosandi,,0,1
120k ya kak?,KI2226,0,4
Tidak ada keterangan nya,KI2226,0,2
Tagihan 0 rp,KI2226,1,1
Berarti kenapa itu kak,KD1034,0,2
baik kak terimakasih,KT1606,0,4
Tetap tidak ada tagihannya kak,KI2226,0,1
Oke ini ya,KI2226,0,3
Minta tolong ya,KD1034,0,2
Malam mbak.hari ini saya update yg 5 Mbps ya mba,KM2866,0,2
Kk klo mw ganti paswod wifi gmn,KM2319,0,2
jadi misal menjadi 10mbps itu harganya sama apa engga min?,,0,1
ini untuk perangkat max 10 perangkat kak?,STKP0039,0,1
terus kalau nambah sekarang apa gabisa ya?,,0,3
Kak minta link pembayaran,,0,3
tgl 15 kak jadinya,STKP0039,0,3
Mau bayar kak,,1,4
Iyaa kak..saya save no id nya,,0,1
bedanya sama ini apa kak,STKP0039,0,1
Alamat Pemasangan:jln joyosuko gg 3 Kelurahan:merjosari Share location:joyosuko Tahu Kapten Naratel darimana:ig,,0,2
Saya minta VA BRI,"KM0079, KM0192",0,2
"Ok, lalu jadi saya harus bagaimana?",KI0982,0,2
Ini ada tetangga saya yg tertarik,KI0982,0,2
oalah beda ya kak,,0,3
korain harganya sama min,,0,1
Can you please share the information to pay the internet...i forgot the bank account number,KT0734,0,1
Untuk kecepatan 15 mbois itu seperti apa? Apakah untuk streaming Netflix bisa?,KI3378,0,1
berlaku sampai kapan kak,,0,1
Hasilnya masi belum ada kak,,0,1
Kalau ada kami kabari segera,,0,1
Kak lemot banget ini kenapa ya?,KT2075,2,1
"misi min, wifinya lag lagi id pelanggan kt1080",,2,3
Tolong yg tidak mengunduh,"KM0079, KM0192",0,1
Jam berapa ya kak kira kira tidak bisa men akses jaringan nya?,KJ0847,0,1
Udh saya restart router pdhl,KT2075,0,2
Apakah tanggal 24 pukul 00.00 atau tanggal 23 pukul 00.00?,KJ0847,0,1
Mau nanya dlu,,0,2
Lupa nama panjangnya kak 🙏 Alamatnya jl.diponegoro no.56 rt.04 rw 01 junrejo  Apa ada namanya Bu ninik kak ?,KD0746,0,1
oke coba saya test dulu.. nnti kalo lemot saya coba restart router lagi,KT2075,2,1
Terus gimana kak,KD1034,0,2
udh naek kak. makasih ya kak. sehat selalu,KT2075,0,2
Saya gabisa hubungi orang rumah,KD1034,0,4
Sampai kapan ini,KD1034,0,1
"Ok, besok saya kabari ya",KI3378,0,1
Jl papa2 lokasinya,,0,2
tanpa fup kan ya,STKP0039,0,1
jadi kalau yg 150rb ini 10 perangkat kalau melebihi 10 gabisa ya kak,STKP0039,0,1
Info pemasangan berapa mbak,,0,4
Jln sudimoro utara no 48 kelurahan mojolangu rt 02 rw 17,,0,3
Ya sudah besok saja lah saya bayar cash,"KM0079, KM0192",1,2
10mbps itu kenceng kah,KP2273,0,1
Saya yg menyesuaikan nih lho riwehhhhh,"KM0079, KM0192",0,1
"gitu ya, oke deh min makasi",,0,1
Kalau sudah aktif mohon d info ya,KM2866,0,2
Terima kasih telah menghubungi sate sangkolan. Silakan beri tahu apa yang bisa kami bantu.,KI1353,0,2
"Mau klik Turbo, dimana ya didalam aplikasinya, Belum nemu☺️",,0,1
Jam 1 hanya ada 2,STKN0016,0,4
ok siap min,KT1895,0,2
