kode_user,message,clean_text,severity,predicted_severity
KN0627,Brarti 450k 100mbps utk 3bulan tanpa bayar modem ya kak?,brarti mbps bayar modem iya kak,1,1
KP2257,Ini bukti tf.nya kak,bukti tf nya kak,1,1
"KM0752, KM1492",Bentar mb tunggu info yg di rumah sdh nyala belum...saya mash di jalan,sebentar mb tunggu informasi rumah sdh nyala belum mash jalan,1,1
JT0290,Kapten naratel gangguan ya,kapten naratel ganggu iya,2,2
"KJ2224, KI1388",Kak nomor wa  untuk lapor gangguan nya ganti kah?,kak nomor wa lapor ganggu nya ganti,2,1
KP2255,aku td mengajukan pasang ..,aju pasang,1,1
KM2492,Naratel sebagai penyedia layanan internet apakah bisa menyediakan sarana untuk IP phone yang akan saya pasang ?,naratel sedia layan internet sedia sarana ip phone pasang,1,1
KI2857,Kalo wifinya oke cuma utk di tv harus ada kode dari admin itu gimana ya caranya...?,wifinya oke tv kode admin iya,1,1
"KJ2224, KI1388",Wifi saya yang di toko landungsari mati,wifi toko landungsari mati,2,2
KM0817,"Akir"" ini jaringan internet sy tdk lancar sering ngadat putus""",akir jaring internet tidak lancar ngadat putus,2,2
"KJ2224, KI1388",Lampu indikatornya juga mati semua,lampu indikator mati,2,1
KT2104,Langsung pasang Tah kak?,pasang tah kak,1,1
KJ0851,Permisi...mau tanya ini nomer virtualnya KJ0851 berapa ya???,permisi nomer virtual kj iya,1,1
STJT0013,"iya kak, ini wifi sy yg ssid nya 2,4ghz mati nyala berulang, dan ketika di lakukan login ulang muncul notifikasi radius server......, bisa dibantu kak?",iya kak wifi ssid nya ghz mati nyala ulang laku login ulang muncul notifikasi radius server bantu kak,1,1
KI1017,Maaf mbak saya bayar bulanan besok sabtu ya,maaf mbak bayar bulan besok iya,1,1
KT2104,Jdi perbulannya bisa transfer ea kak,bulan transfer ea kak,1,1
STKP0039,total yang 100mbps berapa sama pasangnya,total mbps pasang,1,1
KD0198,Aku bayar lewat m- bking bca ko no rek ga terdaftar ya...,bayar m bking bca ko rek ga daftar iya,1,1
GJ0275,Mhn maaf  Aku mau bayar wifi Naratel Gundala bulan Oktober 25 minta BRIVA yg baru. ID pelanggan saya adalah GJ 0275,mohon maaf bayar wifi naratel gundala oktober briva id langgan tidak jelas,1,1
KI3194,"Halo kak mau tanya, bayar tagihan via aplikasi menunya di sebelah mana ya kak? Apa harus isi saldo dulu trus otomatis kepotong",halo kak bayar tagih via aplikasi menu belah iya kak isi saldo trus otomatis potong,1,1
KD0746,Mau tanya masa aktif punya tetangga saya atas nama bu ninik tanggal berapa ya ?,aktif tetangga nama bu ninik tanggal iya,1,1
"KD0123, KD1721",mau bayar di aplikasi kapten natatel lewat indomaret tapi kok gak bisa ya,bayar aplikasi kapten natatel indomaret gak iya,1,1
KD0746,soalnya orangnya nitip uang ke saya buat bayar,orang nitip uang bayar,1,1
KP1184,SDH bayar untk BLN nie kak,sdh bayar untk kak,1,1
KJ0851,Maaf GK bisa download aplikasi ....apakah bisa bayar d Alfamart/ Indomaret,maaf gk download aplikasi bayar alfamart indomaret,1,1
KT1768,Saya mau bayar,bayar,1,1
KN0552,Besok aku TF 175 ribu,besok tf,1,1
KM1631,"Terima kasih atas konfirmasi pembayaran Anda. Masa aktif layanan telah kami perpanjang  Untuk informasi mengenai tanggal masa aktif, silakan cek melalui tautan berikut: https://pembayaran.kaptennaratel.com/  Jika wifinya masih belum bisa, mohon untuk me-restart modemnya. Caranya cabut adaptor selama 10 detik kemudian tancapkan lagi. Tunggu -/+3menit, sampai internet normal kembali😊",terima kasih konfirmasi bayar aktif layan panjang informasi tanggal aktif sila cek taut wifinya belum mohon me restart modem pergi adaptor detik tancap tunggu menit internet normal,4,1
KM2098,Wifinya gangguan kah ?,wifinya ganggu,2,2
KM2049,Biasanya sy TF ke no.VA Briva,tf va briva,1,1
KM2049,Klo sy Tf dr rek bank lain ke nomer VA BCA itu bisa ndak?,tf dr rek bank nomer va bca tidak,1,1
KM2049,Sy TF ke nomer VA BCA pke mbanking Mandiri bisa ya,tf nomer va bca pke mbanking mandiri iya,1,1
KP0439,"Slamat malam min kok di setiao jm 6 sampe jm 7, 2 hari iki sering lemot ya ?",slamat malam min setiao jm jm iki lambat iya,2,2
KT1372,"Bisa lewat website tidak? Kalau kebanyakan install aplikasi, HP bisa nge lag",website tidak banyak install aplikasi hp nge lag,2,2
KP2273,Mau rencana pasang,rencana pasang,1,1
KM2049,Smart tv nya aq pke kabel LAN.. Jd no lemot2..,smart tv nya pke kabel lan lambat,2,2
KD1034,Pdahal wifinya nyala,pdahal wifinya nyala,1,1
KP0128,Ini teman saya mau pasang wifi,teman pasang wifi,1,1
"KT0356, KT1515",gangguan kah mbak?,ganggu mbak,2,2
KD1034,Barusan saya tinggal dr rumah nyala dan saya buat chat dr rumah bisa,barusan dr rumah nyala chat dr rumah,1,1
"KT0356, KT1515",masih di cek mbak,cek mbak,1,1
KT2054,Selamat siang kka Maaf mengganggu .ini bagaimana mau bayar wifi kka,selamat siang kka maaf ganggu bayar wifi kka,1,1
"KT0356, KT1515",ini ada nyala merah,nyala merah,1,1
KM1631,"Info Penting: - Pembayaran otomatis memperpanjang layanan tanpa konfirmasi. - Jika 20 menit setelah bayar belum ada notifikasi, hubungi CS. - VA BRI, Indomaret, Alfamart berubah tiap bulan. - VA BCA hanya bisa dibayar dari rekening BCA (tetap). - Total sudah termasuk biaya layanan. - BRIVA tidak dapat dibayar via Flip.",informasi bayar otomatis panjang layan konfirmasi menit bayar belum notifikasi hubung cs va bri indomaret alfamart ubah va bca bayar rekening bca total biaya layan briva tidak bayar via flip,1,1
KT1372,Saya udah bayar kak,bayar kak,1,1
KI2226,Mau bayar gih,bayar gih,1,1
JT0999,Tadi mau bayar ke Indomaret rebet aplikasinya besok aja lewat BCA ya trimakasih,bayar indomaret rebet aplikasi besok bca iya trimakasih,1,1
KD1034,Wong hp nya nyala kok kak baru bbrp menit saya keluar,hp nya nyala kak bbrp menit,1,1
KI2226,Mau bayar wifi,bayar wifi,1,1
JT0846,Saya mau bayar bulanan kok gak bisa ya,bayar bulan gak iya,1,1
KM0817,"Jaringan internet kok tdk bs stabil putus nyambung putus nyambung terus""an ini bagaimana",jaring internet tidak stabil putus nyambung putus nyambung an,2,2
KI1750,"selamat siang,saya pelanggan atas nama bambang pribadi mau bayar lewat VA bca tp kok ga bisa ya",selamat siang langgan nama bambang pribadi bayar va bca ga iya,1,1
KI2226,Ribet bayar di apk nya,ribet bayar apk nya,1,1
KM0043,Wifi sudah seminggu lebih sering lemot mohon dibantu,wifi minggu lambat mohon bantu,2,2
JT0846,Ini saya yg bayar anak saya kok gak bisa ya,bayar anak gak iya,1,1
KI2226,Tagihan 0 rp,tagih rp,1,1
KM0043,Dibuat download aplikasi liat video fb lemot jg,download aplikasi lihat video fb lambat,2,1
KT2075,Kak lemot banget ini kenapa ya?,kak lambat banget iya,2,2
KT2075,Ini internetnya lemot bgt kak,internetnya lambat banget kak,2,2
KJ0847,Jam berapa ya kak kira kira tidak bisa men akses jaringan nya?,jam iya kak tidak men akses jaring nya,1,1
KT2075,oke coba saya test dulu.. nnti kalo lemot saya coba restart router lagi,oke coba test nnti lambat coba restart router,2,1
"KM0079, KM0192",Ya sudah besok saja lah saya bayar cash,iya besok bayar cash,1,1
KT0280,"Selamat siang, kak kalo mau berhenti berlangganan bagaimana prosedurnya ?",selamat siang kak henti langgan prosedur,4,1
KP2273,Itu harga flat tiap bulan ?,harga flat,1,1
JT0677,untuk nomer briva nya berapa ya kak?,nomer briva nya iya kak,1,1
JT0481,"Kak, mohon dibantu mengisi data pemasangan terlebih dahulu untuk saya bantu daftarkan😊  Nama: ida royani No. Telepon: 081 805100041 Alamat Pemasangan: jln slamet Kelurahan: cemorokandang Paket: paket 5mbps Foto KTP: Foto Tampak Depan Rumah: Tahu Kapten Naratel dari Mana: teman  Terima kasih 😊",kak mohon bantu isi data pasang bantu daftar nama ida royan telepon alamat pasang jalan slamet lurah cemorokandang paket paket mbps foto ktp foto rumah kapten naratel teman terima kasih,1,1
KI1973,Bukti pembayaran pelanggan dg ID. KI1973.,bukti bayar langgan dg id ki,1,1
KP1136,"Mf itu ada ditoko sblh Timur kodim n skrg tutup, mmg kt yg jaga toko kadang2 mati / sinyal tiba2 hilang...klo ke toko pg sj jam 9 smpe jm 5 sore",mf toko sblh timur kodim skrg tutup mmg jaga toko kadang mati sinyal hilang toko pg jam smpe jm sore,2,2
STKN0016,Oh iya kalo mau paket superstar 30 mbps  Brarti :  10 perangkat yg bisa connect Modem bayar 300rb Free instalasi,iya paket superstar mbps brarti perangkat connect modem bayar rb free instalasi,1,1
STKN0016,Bayar pada saat pemasangan?,bayar pasang,1,1
KI2414,Kak saya sudah bayar kenapa wifi tetap tidak aktif,kak bayar wifi tidak aktif,1,1
KI1112,"nggak merah min, barusan ini udah bisa tp lemot ya...",tidak merah min barusan lambat iya,2,1
KP2273,Admin sampai brpa tiap bulannya,admin brpa bulan,1,1
KM2000,Kalau ganti paket 30 mbps,ganti paket mbps,1,1
KM3636,Kalo bayar melalui alfamart kode nya kk,bayar alfamart kode nya kakak,1,1
KM3636,Kalo bayar di alfamart kode nya kk,bayar alfamart kode nya kakak,1,1
KD0568,Wifi mati kak,wifi mati kak,2,2
KT0964,"Saya kesulitan untuk membayar tagihan,",sulit bayar tagih,1,1
