message,kode_user
Brarti 450k 100mbps utk 3bulan tanpa bayar modem ya kak?,KN0627
Kalau cctv yg pakai wifi ?,KN0627
Ini bukti tf.nya kak,KP2257
Bentar mb tunggu info yg di rumah sdh nyala belum...saya mash di jalan,"KM0752, KM1492"
Oo sebntar” kak,KN0627
Apa bisa jg?,KN0627
Apakah bagian teknisinya akan ke tempat ya kak?,KI3201
Kapten naratel gangguan ya,JT0290
Kak nomor wa  untuk lapor gangguan nya ganti kah?,"KJ2224, KI1388"
Kalai superstar nya gak ready gak deh,
aku td mengajukan pasang ..,KP2255
Sinyal slalu naik turun tidak stabil,KP2246
Naratel sebagai penyedia layanan internet apakah bisa menyediakan sarana untuk IP phone yang akan saya pasang ?,KM2492
Kalo wifinya oke cuma utk di tv harus ada kode dari admin itu gimana ya caranya...?,KI2857
blm datang2 y dr tadi siang,KP2255
Jarak dari modem 2 meter,KP2246
Wifi saya yang di toko landungsari mati,"KJ2224, KI1388"
"kak ini wi fi nya gabisa, kemarin kan mati lampu nah ini tadi nyobak ta taruh rumah bawah trus internet nya ga bisa, trus ta ganti ke atas lagi tetep gabisa",
Kadang tiba tiba drop kak dan gak bisa digunakan,KP0437
"Akir"" ini jaringan internet sy tdk lancar sering ngadat putus""",KM0817
Wifinya error lagi maturnuwun🙏,KM1481
Lampu indikatornya juga mati semua,"KJ2224, KI1388"
Pembayaran melalui bri bisakah,KD1282
Ini jatuh temponya tanggal brpa kak?,KT1879
Kok belum diberitahu,KM1510
"Maaf masih blm lancar,",KM0817
Sudah normql lagi,JT0290
Langsung pasang Tah kak?,KT2104
Permisi...mau tanya ini nomer virtualnya KJ0851 berapa ya???,KJ0851
Ini mau byr kok GK bisa,KJ0851
Apa itu kode password baru atau otomatis utk wifi di tv,KI2857
"iya kak, ini wifi sy yg ssid nya 2,4ghz mati nyala berulang, dan ketika di lakukan login ulang muncul notifikasi radius server......, bisa dibantu kak?",STJT0013
Maaf mbak saya bayar bulanan besok sabtu ya,KI1017
u/ yg 5ghz saat ini sy pakai normal,STJT0013
Saya bayarnya gimna kak,AT0025
katanya siang tadi kak,KP2255
Terima kasih sdh normal lagi  .... pelayanan anda cukup baik,KM0817
kok blm ada dtang y,KP2255
Ea kak...trma ksih sblumnya kak,KT2104
Jdi perbulannya bisa transfer ea kak,KT2104
total yang 100mbps berapa sama pasangnya,STKP0039
Pak kpn saya harus byr lg kayaknya udh mati,
lelet lagi ka,
Oh gitu ya,STKN0016
iya benar kak,STJT0013
Aku bayar lewat m- bking bca ko no rek ga terdaftar ya...,KD0198
Apa sudah tutup kantornya,KP0232
Biasanya mudah kak....,KD0198
Tolong infonya kak untuk VA BRI bln ini,KD0198
Ok siap kak...,KD0198
Bank apa ini kak namanya,AT0025
Mhn maaf  Aku mau bayar wifi Naratel Gundala bulan Oktober 25 minta BRIVA yg baru. ID pelanggan saya adalah GJ 0275,GJ0275
Ini sek teknisinya Lum dtang,KT2104
"Halo kak mau tanya, bayar tagihan via aplikasi menunya di sebelah mana ya kak? Apa harus isi saldo dulu trus otomatis kepotong",KI3194
Boleh minta no pembayarannya,KP0348
Ea sdah kak....oy seumpamanya saya nanti ada rjeki beli hp lgi...jdi bisa diubah lgi ea kak ke 30 Mbps kak,KT2104
Kok g bisa ya,KP0727
